lat,long,site,Province,plate_n,plate_low,plate_partial,plate_complete,Morph,other,habitat,citation_num,citation,,,,notes,
45.353,-61.469,Salmon River Estuary,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.346,-61.375,Halfway Cove,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.317,-60.972,Glasgow Head Inlet,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.258,-61.214,Port Felix Inlet,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.068,-61.853,Wine Harbour,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.017,-62.026,Spanish Ship Bay,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.927,-62.346,Quoddy River Estuary,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.856,-62.468,Sheet Harbour Passage,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.811,-62.876,Ship Harbour,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.655,-63.263,Leslie Island,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.527,-63.951,Head of St. Margaret's Bay,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.513,-64.286,Oak Island,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.374,-64.315,Lunenberg,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.332,-64.337,Indian Path,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.293,-64.33,Riverport,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.321,-64.408,Middle LaHave,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.366,-64.453,Upper LaHave,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.154,-64.526,Hog Hill,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.155,-64.564,East Port Medway,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.129,-64.579,Port Medway,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
44.062,-64.636,Beach Meadows,,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,
45.181,-61.459,New Harbour R.,,,,,,unk,W,,7,Jamieson et al. (1992). Can. J. Zool. 70:956-962.,,,,,
46.09,-60.862,Baddeck R.,,,,,,unk,W,,8,Jamieson et al. (1992). Can. J. Zool. 70:1057-1063.,,,,,
45.957,-60.985,Little Narrows,,,,,,unk,W,,8,Jamieson et al. (1992). Can. J. Zool. 70:1057-1063.,,,,,
45.909,-61.056,Gillis Cove,,,,,,unk,W,,8,Jamieson et al. (1992). Can. J. Zool. 70:1057-1063.,,,,,
44.498,-63.901,Canal Lake,,,,,,unk,W,,9,Haley et al. (2019) Ecol.Evol Res. 20:145-166.,,,,,
44.645,-63.324,Lawrencetown,,,,,,unk,W,,9,Haley et al. (2019) Ecol.Evol Res. 20:145-166.,,,,,
